isp_id technology user_id mean_e2e_rtt mean_serv_latency operating_system median_e2e_rtt median_serv_latency sort_order
27 w 18 59.4297297736564 25.9675687447841 i 25.7350206375122 14.8499011993408 36
27 w 19 37.5082289801977 12.8148319521969 i 21.1400985717773 12.930154800415 36
27 w 35 53.1846206965164 23.2761361582568 i 40.0798320770264 16.7801380157471 36
28 w 18 59.4297297736564 25.9675687447841 i 174.705028533936 145.735025405884 35
29 w 24 225.382170420575 -4.43397093821047 a 168.040037155151 51.1801242828369 44
3 w 3 0 0 i 0 0 14
3 w 31 274.790775333613 91.2666117555261 i 298.669934272766 98.2850790023804 14
3 w 8 367.149252659923 238.418058146857 i 389.990091323853 310.17005443573 14
30 w 1 132.086785048168 76.3351851146001 i 185.665011405945 185.285091400146 32
31 w 1 132.086785048168 76.3351851146001 i 31.559944152832 9.71007347106934 47
32 w 1 132.086785048168 76.3351851146001 i 63.4850263595581 40.5949354171753 45
33 w 1 132.086785048168 76.3351851146001 i 266.05486869812 236.354947090149 25
34 w 5 573.908976416899 369.386550921514 i 239.719867706299 198.220014572144 31
35 w 18 59.4297297736564 25.9675687447841 i 199.965000152588 136.590003967285 38
38 w 8 367.149252659923 238.418058146857 i 336.11011505127 208.370208740234 30
39 w 27 319.048378918622 197.651070517463 a 303.560018539429 288.36989402771 18
4 w 1 132.086785048168 76.3351851146001 i 118.100166320801 94.1200256347656 16
4 w 25 127.597623583443 23.0016976244711 i 314.3550157547 292.614936828613 16
4 w 7 43.8861169490434 27.4075068030973 i 69.675087928772 61.7650747299194 16
40 w 2 63.5994707427688 30.0350800967013 i 114.7301197052 77.9500007629395 34
40 w 1 132.086785048168 76.3351851146001 i 173.295021057129 147.989988327026 34
41 w 11 324.49880829378 152.310801077657 a 877.975106239319 411.479949951172 12
41 w 1 132.086785048168 76.3351851146001 i 64.0400648117065 48.5349893569946 12
42 w 1 132.086785048168 76.3351851146001 i 245.539903640747 225.434899330139 27
43 w 2 63.5994707427688 30.0350800967013 i 118.0100440979 93.4600830078125 20
43 w 4 173.097604148052 150.009378874742 a 286.064982414246 271.569967269897 20
44 w 18 59.4297297736564 25.9675687447841 i 214.440107345581 58.7700605392456 43
44 w 19 37.5082289801977 12.8148319521969 i 0 0 43
45 w 1 132.086785048168 76.3351851146001 i 335.230112075806 290.650129318237 17
47 w 1 132.086785048168 76.3351851146001 i 0 0 48
49 w 1 132.086785048168 76.3351851146001 i 310.055017471313 286.479949951172 19
5 w 11 324.49880829378 152.310801077657 a 300.189971923828 270.074963569641 21
50 w 2 63.5994707427688 30.0350800967013 i 105.980038642883 94.3700075149536 26
50 w 1 132.086785048168 76.3351851146001 i 253.749966621399 230.48996925354 26
51 w 2 63.5994707427688 30.0350800967013 i 111.515045166016 83.2550525665283 39
51 w 1 132.086785048168 76.3351851146001 i 108.200073242188 90.86012840271 39
52 w 1 132.086785048168 76.3351851146001 i 249.259948730469 223.350048065186 28
53 w 13 413.492889469116 203.645354989266 a 439.249992370605 305.220007896423 15
6 w 1 132.086785048168 76.3351851146001 i 163.640022277832 155.320167541504 33
8 w 5 573.908976416899 369.386550921514 i 504.735112190247 326.089859008789 13
9 w 2 63.5994707427688 30.0350800967013 i 115.000009536743 90.7399654388428 40
